,Id,MSSubClass,MSZoning,LotFrontage,LotArea,Street,LotShape,LandContour,Utilities,LotConfig,LandSlope,Neighborhood,Condition1,Condition2,BldgType,HouseStyle,OverallQual,OverallCond,YearBuilt,YearRemodAdd,RoofStyle,RoofMatl,Exterior1st,Exterior2nd,MasVnrType,MasVnrArea,ExterQual,ExterCond,Foundation,BsmtQual,BsmtCond,BsmtExposure,BsmtFinType1,BsmtFinSF1,BsmtFinType2,BsmtFinSF2,BsmtUnfSF,TotalBsmtSF,Heating,HeatingQC,CentralAir,Electrical,1stFlrSF,2ndFlrSF,LowQualFinSF,GrLivArea,BsmtFullBath,BsmtHalfBath,FullBath,HalfBath,BedroomAbvGr,KitchenAbvGr,KitchenQual,TotRmsAbvGrd,Functional,Fireplaces,GarageType,GarageYrBlt,GarageFinish,GarageCars,GarageArea,GarageQual,GarageCond,PavedDrive,WoodDeckSF,OpenPorchSF,EnclosedPorch,3SsnPorch,ScreenPorch,PoolArea,MiscVal,MoSold,YrSold,SaleType,SaleCondition,SalePrice
13,14,10,0,91,10,0,100,0,0,0,0,0,0,0,0,100,70,500,13,120,0,0,0,0,200,30,0,0,0,0,0,300,200,0,0,0,149,149,0,0,0,0,149,0,0,149,0,0,200,0,300,100,0,70,0,100,0,130,0,300,84,0,0,0,160,33,0,0,0,0,0,50,100,100,200,279500
14,15,10,0,73,10,0,100,0,0,200,0,110,0,0,0,100,60,500,14,130,100,0,10,10,0,21,100,0,100,100,0,0,400,73,0,0,52,125,0,200,0,0,125,0,0,125,100,0,100,100,200,100,100,50,0,100,0,140,0,100,35,0,0,0,0,213,176,0,0,0,0,10,0,0,0,157000
15,16,50,100,51,6,0,0,0,0,200,0,80,0,0,0,300,70,800,15,140,0,0,20,50,100,0,100,0,200,100,0,0,200,0,0,0,83,83,0,0,0,200,85,0,0,85,0,0,100,0,200,100,100,50,0,0,100,150,100,200,57,0,0,0,48,112,0,0,0,0,0,90,100,0,0,132000
16,17,10,0,60,11,0,100,0,0,300,0,110,0,0,0,100,60,700,16,30,0,0,20,50,0,18,100,0,100,100,0,0,100,57,0,0,42,100,0,0,0,0,100,0,0,100,100,0,100,0,200,100,100,50,0,100,0,160,200,200,48,0,0,0,0,0,0,0,0,0,7,100,400,0,0,149000
17,18,60,0,72,10,0,0,0,0,0,0,90,0,0,200,100,40,500,17,150,0,0,10,10,100,0,100,0,400,100,0,0,200,0,0,0,0,0,0,200,0,0,129,0,0,129,0,0,200,0,200,200,100,60,0,0,300,170,100,200,51,0,0,0,0,0,0,0,0,0,5,40,200,0,0,90000
18,19,10,0,66,13,0,0,0,0,0,0,120,400,0,0,100,50,500,6,160,0,0,0,0,100,0,100,0,0,100,0,0,0,64,0,0,46,111,0,0,0,0,111,0,0,111,100,0,100,100,300,100,0,60,0,0,100,60,100,200,57,0,0,0,0,102,0,0,0,0,0,110,0,0,0,159000
19,20,10,0,70,7,0,0,0,0,0,0,110,0,0,0,100,50,600,18,90,100,0,40,40,100,0,100,0,100,100,0,0,500,50,0,0,52,102,0,200,0,0,133,0,0,133,0,0,100,0,300,100,100,60,100,0,0,180,100,100,29,0,0,0,0,0,0,0,0,0,0,10,300,200,100,139000
20,21,0,0,101,14,0,100,0,0,200,0,100,0,0,0,0,80,500,11,100,0,0,0,0,0,38,0,0,0,200,0,300,200,0,0,0,115,115,0,0,0,0,115,121,0,237,0,0,300,100,400,100,0,90,0,100,200,110,0,300,85,0,0,0,240,154,0,0,0,0,0,60,200,100,200,325300
21,22,50,100,57,7,0,0,100,0,0,0,130,0,0,0,300,70,700,19,80,0,0,20,50,100,0,100,0,0,100,0,0,200,0,0,0,63,63,0,0,0,100,110,0,0,110,0,0,100,0,300,100,0,60,0,100,0,190,100,100,28,0,0,100,0,0,205,0,0,0,0,110,100,0,0,139400
22,23,10,0,75,9,0,0,0,0,0,0,0,0,0,0,100,80,500,20,20,100,0,0,0,0,28,0,0,0,0,0,0,200,0,0,0,177,177,0,0,0,0,179,0,0,179,0,0,200,0,300,100,0,70,0,100,0,200,0,200,53,0,0,0,171,159,0,0,0,0,0,20,0,0,0,230000
23,24,70,100,44,4,0,0,0,0,0,0,140,0,0,300,100,50,700,1,10,0,0,60,60,100,0,100,0,0,0,0,0,0,84,0,0,20,104,0,200,0,0,106,0,0,106,100,0,100,0,300,100,100,60,0,100,0,10,100,200,57,0,0,0,100,110,0,0,0,0,0,110,100,0,0,129900
24,25,10,0,50,8,0,100,0,0,0,0,90,0,0,0,100,50,800,21,140,0,0,70,40,100,0,100,100,100,100,0,200,300,18,200,66,20,106,0,0,0,0,106,0,0,106,100,0,100,0,300,100,0,60,0,100,0,210,100,100,27,0,0,0,406,90,0,0,0,0,0,10,400,0,0,154000
25,26,10,0,110,14,0,0,0,0,200,0,100,0,0,0,100,80,500,22,120,0,0,0,0,200,64,0,0,0,0,0,0,200,0,0,0,156,156,0,0,0,0,160,0,0,160,0,0,200,0,300,100,0,70,0,100,0,220,0,300,89,0,0,0,0,56,0,0,0,0,0,90,300,0,0,256300
26,27,10,0,60,7,0,0,0,0,200,0,110,0,0,0,100,50,700,23,40,0,0,20,50,100,0,100,0,100,100,0,200,400,23,300,48,18,90,0,200,0,0,90,0,0,90,0,100,100,0,300,100,0,50,0,0,100,110,100,200,57,0,0,0,222,32,0,0,0,0,0,10,400,0,0,134800
27,28,10,0,98,11,0,0,0,0,0,0,100,0,0,0,100,80,500,22,170,0,0,0,0,200,20,0,0,0,200,0,0,0,121,0,0,48,170,0,0,0,0,170,0,0,170,100,0,200,0,300,100,0,70,0,100,0,230,0,300,77,0,0,0,0,50,0,0,0,0,0,10,400,0,0,306000
28,29,10,0,47,16,0,100,0,0,300,0,110,0,0,0,100,50,600,24,180,0,0,10,10,100,0,100,0,100,100,0,100,400,127,0,0,20,148,0,200,0,0,160,0,0,160,100,0,100,0,200,100,100,60,0,200,0,240,0,100,31,0,0,0,288,258,0,0,0,0,0,30,200,0,0,207500
29,30,80,100,60,6,0,100,0,0,0,0,80,100,200,0,100,40,600,25,80,0,0,10,10,100,0,100,0,200,100,0,0,200,0,0,0,52,52,0,300,100,0,52,0,0,52,0,0,100,0,100,100,300,40,0,0,100,250,100,100,24,100,0,0,49,0,87,0,0,0,0,10,0,0,0,68500
30,31,20,200,50,8,0,0,0,0,0,0,130,100,0,0,0,40,400,26,80,200,0,40,70,100,0,100,200,200,100,0,0,200,0,0,0,64,64,0,200,100,0,64,66,0,131,0,0,100,0,300,100,100,60,0,0,100,250,100,100,25,0,100,100,0,54,172,0,0,0,0,90,0,0,0,40000
31,32,10,0,72,8,0,100,0,0,300,0,90,0,0,0,100,50,600,27,100,0,0,30,30,100,0,100,0,100,100,0,0,200,0,0,0,122,122,0,100,0,0,122,0,0,122,0,0,100,100,300,100,0,60,0,0,0,260,100,100,27,0,0,0,0,65,0,0,0,0,0,110,0,0,0,149350
32,33,10,0,85,11,0,0,0,0,200,0,0,0,0,0,100,80,500,22,120,0,0,0,0,100,0,0,0,0,200,0,300,200,0,0,0,123,123,0,0,0,0,123,0,0,123,0,0,200,0,300,100,0,70,0,0,0,220,0,200,48,0,0,0,0,30,0,0,0,0,0,80,0,0,0,179900
33,34,10,0,70,10,0,100,0,0,0,0,110,0,0,0,100,50,500,28,190,100,0,40,70,100,0,100,0,100,100,0,0,300,101,0,0,38,139,0,100,0,0,170,0,0,170,0,100,100,100,400,100,0,60,0,100,0,270,0,200,44,0,0,0,0,38,0,0,0,0,0,70,400,0,0,165500
34,35,70,0,60,7,0,0,0,0,0,0,100,0,0,300,100,90,500,11,60,100,0,10,10,0,24,200,0,0,200,0,0,0,115,0,0,40,156,0,0,0,0,156,0,0,156,100,0,200,0,200,100,200,60,0,100,0,110,200,200,55,0,0,0,203,47,0,0,0,0,0,50,100,0,0,277500
35,36,0,0,108,13,0,0,0,0,0,0,100,0,0,0,0,80,500,6,60,0,0,0,0,200,13,0,0,0,200,0,300,200,0,0,0,111,111,0,0,0,0,113,132,0,245,0,0,300,100,400,100,0,90,0,100,200,60,200,300,69,0,0,0,113,32,0,0,0,0,0,20,200,0,0,309000
36,37,10,0,112,10,0,0,0,0,200,0,0,0,0,0,100,50,500,29,50,0,0,0,0,100,0,100,0,0,0,0,0,200,0,0,0,109,109,0,0,0,0,109,0,0,109,0,0,100,100,300,100,100,60,0,0,0,280,100,200,67,0,0,0,392,64,0,0,0,0,0,110,300,0,0,145000
37,38,10,0,74,8,0,0,0,0,0,0,110,0,0,0,100,50,600,30,200,100,0,20,50,0,65,100,0,100,100,0,0,300,121,0,0,8,129,0,100,0,0,129,0,0,129,0,100,100,0,300,100,100,50,0,100,0,290,200,200,49,0,0,0,0,0,0,0,0,0,0,40,300,0,0,153000
38,39,10,0,68,7,0,0,0,0,0,0,110,0,0,0,100,50,700,31,120,0,0,0,0,100,0,100,100,100,100,0,0,0,73,0,0,32,105,0,200,0,0,105,0,0,105,100,0,100,0,300,100,0,50,0,0,100,300,100,100,24,0,0,0,0,52,0,0,0,0,0,80,400,0,100,109000
39,40,60,0,65,6,0,0,0,0,0,0,150,0,0,200,100,40,500,32,210,0,0,80,40,100,0,100,0,0,100,0,0,200,0,0,0,0,0,0,200,100,300,115,0,0,115,0,0,200,0,200,200,300,60,0,0,0,110,100,0,0,0,0,100,0,0,0,0,0,0,0,110,0,0,300,82000
40,41,10,0,84,8,0,0,0,0,0,0,110,0,0,0,100,60,500,10,90,0,0,20,50,0,10,100,0,100,100,0,0,300,64,0,0,44,108,0,0,0,0,132,0,0,132,0,0,200,0,300,100,100,60,0,100,0,100,0,200,44,0,0,0,0,138,0,0,0,0,0,30,200,0,100,160000
41,42,10,0,115,16,0,0,0,0,0,0,160,0,0,0,100,50,600,28,190,0,0,0,0,100,0,100,100,100,100,0,100,400,96,0,0,38,135,0,100,0,0,132,0,0,132,0,100,100,100,200,100,100,50,0,200,0,270,0,100,30,0,0,200,0,104,0,0,0,0,0,90,100,0,0,170000
42,43,90,0,67,9,0,100,0,0,300,0,120,0,0,0,400,50,700,33,220,0,0,30,30,100,0,100,0,100,0,0,300,100,74,400,9,0,84,0,100,0,0,88,0,0,88,100,0,100,0,200,100,0,50,0,0,0,310,0,200,50,0,200,0,240,0,0,0,0,0,0,30,100,0,0,144000
43,44,10,0,59,9,0,100,0,0,300,0,0,0,0,0,100,50,600,34,230,100,0,0,0,100,0,100,0,100,0,0,300,500,28,100,49,16,93,0,200,0,0,93,0,0,93,100,0,100,0,300,100,100,50,0,0,100,320,100,100,30,0,0,0,145,0,0,0,0,0,0,90,0,0,0,130250
44,45,10,0,70,7,0,0,0,0,0,0,110,0,0,0,100,50,600,28,190,0,0,40,50,100,0,100,0,100,100,0,0,100,17,100,50,46,115,0,0,0,200,115,0,0,115,100,0,100,0,300,100,100,60,0,0,0,270,0,100,30,0,0,0,0,0,0,0,0,0,0,10,200,0,0,141000
45,46,70,0,61,7,0,0,0,0,0,0,100,0,0,300,100,90,500,11,60,100,0,10,10,0,41,200,0,0,200,0,0,0,45,0,0,129,175,0,0,0,0,175,0,0,175,100,0,200,0,200,100,200,60,0,100,0,110,0,200,57,0,0,0,196,82,0,0,0,0,0,0,400,0,0,319900
46,47,30,0,48,12,0,100,0,0,300,0,40,0,0,0,200,70,500,0,0,0,0,0,0,100,0,0,0,0,200,0,0,0,135,0,0,8,143,0,0,0,0,151,63,0,214,100,0,100,100,100,100,0,60,0,100,0,0,0,200,67,0,0,0,168,43,0,0,198,0,0,50,300,0,100,239686
47,48,10,300,84,11,0,0,0,0,0,0,50,0,0,0,100,80,500,13,100,0,0,0,0,100,0,0,0,0,0,0,300,0,2,0,0,163,165,0,0,0,0,165,0,0,165,0,0,200,0,300,100,0,70,0,0,0,130,0,300,82,0,0,0,0,146,0,0,0,0,0,90,100,0,0,249700
48,49,40,100,33,4,0,0,0,0,0,0,70,0,0,100,0,40,500,26,170,0,0,10,10,100,0,100,0,200,100,0,0,200,0,0,0,73,73,0,100,0,0,73,71,0,145,0,0,200,0,200,300,100,80,0,0,0,110,100,0,0,0,0,100,0,0,102,0,0,0,0,110,300,100,200,113000
49,50,10,0,66,7,0,0,0,0,0,0,90,0,0,0,100,50,700,27,240,0,0,30,30,100,0,100,0,100,100,0,0,400,76,0,0,19,95,0,0,0,0,95,0,0,95,100,0,100,0,300,100,100,60,0,0,0,260,100,100,38,0,0,0,0,0,0,0,0,0,0,80,100,0,0,127000
50,51,0,0,73,13,0,200,0,0,200,0,170,0,0,0,0,60,600,35,180,0,0,0,0,100,0,100,0,0,0,0,300,0,18,0,0,61,79,0,100,0,0,79,67,0,147,0,100,200,0,300,100,100,60,0,0,0,330,200,200,38,0,0,0,0,75,0,0,0,0,0,90,100,0,0,177000
51,52,30,100,52,6,0,0,0,0,0,0,80,0,0,0,200,60,600,36,80,0,0,20,50,100,0,100,0,0,100,0,0,200,0,0,0,81,81,0,200,0,0,81,0,360,117,0,0,100,0,300,100,100,60,0,100,100,340,100,200,52,0,0,0,112,0,0,0,0,0,4,20,200,0,0,114500
52,53,60,100,110,8,100,200,100,0,200,100,130,500,0,200,100,50,500,37,250,0,0,20,50,100,0,300,0,100,0,0,100,500,10,500,71,0,81,0,200,100,0,81,0,0,81,100,0,100,0,200,100,100,50,0,0,300,350,100,200,51,0,0,0,106,0,0,0,0,0,0,10,400,0,0,110000
53,54,10,0,68,50,0,100,200,0,0,0,10,0,0,0,100,90,500,38,260,0,100,50,20,100,0,0,0,100,200,0,100,0,181,0,0,3,184,0,100,0,0,184,0,0,184,200,0,0,100,0,100,0,50,0,100,0,360,200,300,89,0,0,0,857,72,0,0,0,0,0,60,200,0,0,385000
54,55,100,0,60,7,0,0,100,0,0,100,110,0,0,0,500,50,500,32,210,0,0,10,10,100,0,100,0,100,100,0,0,100,38,0,0,0,38,0,200,0,0,136,0,0,136,0,0,100,0,300,100,100,60,100,100,100,120,100,200,57,0,0,0,0,50,0,0,0,0,0,0,100,0,0,130000
55,56,10,0,100,10,0,100,0,0,0,0,110,0,0,0,100,60,500,39,270,0,0,30,40,0,27,100,0,100,100,0,0,400,49,0,0,93,142,0,100,0,0,142,0,0,142,0,0,200,0,300,100,100,70,0,100,0,370,0,200,57,0,0,0,0,0,0,407,0,0,0,90,0,0,0,180500
56,57,110,300,24,2,0,0,0,0,0,0,50,0,0,400,0,80,500,40,40,0,0,10,10,0,45,0,0,0,0,0,0,0,64,0,0,32,97,0,0,0,0,98,75,0,173,100,0,200,100,300,100,0,70,0,0,0,380,200,200,48,0,0,0,115,0,0,0,0,0,0,50,300,0,100,172500
57,58,0,0,89,11,0,100,0,0,200,0,0,0,0,0,0,70,500,6,160,0,0,0,0,100,0,0,0,0,0,0,0,200,0,0,0,86,86,0,0,0,0,86,86,0,172,0,0,200,100,300,100,0,70,0,0,0,60,0,200,56,0,0,0,0,70,0,0,0,0,0,50,200,0,0,196500
58,59,0,0,66,13,0,200,300,0,300,0,180,0,0,0,0,100,500,13,100,100,0,0,0,0,103,200,0,0,200,0,100,200,0,0,0,141,141,0,0,0,0,142,151,0,294,0,0,300,100,300,100,0,100,0,100,200,130,200,300,64,0,0,0,192,0,37,0,0,0,0,40,200,100,200,438780
59,60,10,0,60,7,0,0,100,0,0,0,0,0,0,0,100,50,700,41,280,0,0,30,30,100,0,100,0,100,100,0,300,100,63,0,0,14,78,0,0,0,0,78,0,0,78,0,0,100,0,200,100,100,40,0,0,100,70,100,100,35,0,0,0,196,0,0,0,0,0,0,80,0,0,0,124900
60,61,10,0,63,13,0,0,0,0,0,0,120,400,0,0,100,60,500,6,160,0,0,0,0,100,0,100,0,0,0,0,0,100,94,0,0,21,115,0,0,0,0,115,0,0,115,100,0,100,100,300,100,0,50,0,0,100,130,100,200,57,0,0,0,0,50,0,0,0,0,0,10,200,100,200,158000
61,62,120,100,60,7,0,0,0,0,0,0,130,0,0,0,600,50,700,26,290,0,0,10,10,100,0,100,0,200,100,200,0,200,0,0,0,53,53,0,200,100,0,58,53,0,111,0,0,100,0,300,100,300,60,0,0,100,390,100,100,28,0,0,100,0,0,144,0,0,0,0,100,100,0,0,101000
62,63,70,0,44,6,0,100,0,0,0,0,100,0,0,300,100,80,500,13,100,0,0,0,0,200,17,0,0,0,0,100,200,0,2,0,0,134,137,0,0,0,0,137,0,0,137,0,0,200,0,200,100,0,60,0,100,0,130,0,200,48,0,0,0,120,49,0,0,0,0,0,40,100,0,0,202500
63,64,20,100,50,10,0,100,100,0,0,0,70,600,300,0,0,70,600,42,80,0,0,90,80,100,0,100,0,200,100,0,0,200,0,0,0,57,57,0,100,0,0,90,80,0,171,0,0,200,0,300,100,100,90,0,0,100,400,100,200,48,0,0,0,12,11,64,0,0,0,0,70,400,0,0,140000
64,65,0,0,73,9,0,0,0,0,0,0,0,0,0,0,0,70,500,35,300,0,0,0,0,0,57,100,0,0,0,0,0,0,73,0,0,31,105,0,0,0,0,105,97,0,203,100,0,200,100,300,100,0,80,0,0,0,30,0,200,64,0,0,0,576,36,0,0,0,0,0,0,300,0,0,219500
65,66,0,0,76,9,0,0,0,0,0,0,100,0,0,0,0,80,500,6,60,0,0,0,0,0,34,0,0,0,200,0,300,200,0,0,0,114,114,0,0,0,0,114,133,0,247,0,0,200,100,400,100,0,90,0,100,200,60,0,300,85,0,0,0,192,151,0,0,0,0,0,40,100,0,0,317000
66,67,10,0,75,19,0,0,0,0,0,0,110,700,0,0,100,70,500,16,310,0,0,70,40,0,28,100,0,100,0,0,100,0,91,0,0,103,194,0,200,0,0,220,0,0,220,100,0,200,0,300,100,100,70,100,100,0,160,0,200,57,0,0,0,301,0,0,0,0,0,0,90,400,0,0,180000
67,68,10,0,72,10,0,100,0,0,0,0,0,0,0,0,100,70,500,0,0,0,0,0,0,0,16,0,0,0,0,0,300,0,101,0,0,44,145,0,0,0,0,147,0,0,147,100,0,200,0,300,100,0,70,0,0,0,0,0,200,55,0,0,0,144,29,0,0,0,0,0,110,100,0,0,226000
68,69,80,100,47,4,0,0,0,0,200,0,70,300,0,0,100,40,600,43,80,0,0,10,10,100,0,100,100,100,100,0,0,200,0,0,0,74,74,0,200,0,0,74,0,0,74,0,0,100,0,200,100,100,40,0,0,0,410,100,100,22,0,0,0,0,0,0,0,0,0,0,110,400,0,0,80000
69,70,30,0,81,15,0,0,0,0,200,0,190,0,0,0,200,70,400,31,320,0,0,40,90,100,0,0,0,100,100,0,0,400,60,0,0,70,130,100,200,0,0,130,98,0,228,0,0,200,0,300,100,100,70,0,100,0,300,200,200,66,0,0,0,0,21,114,0,0,0,0,90,200,0,0,225000
70,71,10,0,95,13,0,100,0,0,0,0,110,0,0,0,100,70,600,7,70,0,0,70,40,0,111,100,100,100,0,0,100,100,188,0,0,34,222,0,0,0,0,222,0,0,222,100,0,200,0,300,100,100,80,0,200,0,70,200,200,51,0,0,0,300,0,0,0,0,0,0,0,100,0,0,244000
71,72,10,0,69,7,0,0,0,0,200,0,40,0,0,0,100,40,600,44,100,0,0,30,40,100,0,100,0,100,100,0,0,100,56,0,0,28,84,0,200,0,0,84,0,0,84,100,0,100,0,200,100,100,40,0,0,100,420,100,200,36,0,0,0,0,0,0,0,0,0,0,110,100,0,0,129500
72,73,0,0,74,10,0,100,0,0,200,0,170,0,0,0,0,70,500,45,300,0,0,0,0,0,4,100,0,0,0,0,0,200,0,0,0,83,83,0,100,0,0,88,83,0,171,0,0,200,100,300,100,100,70,0,100,0,30,200,200,42,0,0,0,0,94,0,0,291,0,0,30,300,0,0,185000
73,74,10,0,85,10,0,0,0,0,0,0,110,0,0,0,100,50,700,30,0,0,0,20,50,0,10,100,0,100,100,0,0,100,32,100,36,40,108,0,100,0,0,108,0,0,108,100,0,100,0,300,100,100,60,0,0,0,430,100,200,49,0,0,0,0,0,0,0,0,0,0,10,400,0,0,144900
74,75,30,100,60,5,0,0,0,0,200,0,70,0,0,0,0,30,600,3,80,200,0,0,0,100,0,0,100,100,300,0,0,200,0,0,0,84,84,0,100,100,0,84,76,0,160,0,0,200,0,300,200,100,80,0,0,100,440,100,100,37,0,0,0,0,0,202,0,0,0,0,10,400,0,0,107400
75,76,130,100,21,1,0,0,0,0,0,0,140,0,0,400,500,40,500,7,70,0,0,60,60,100,0,100,0,100,0,0,100,0,46,0,0,0,46,0,200,0,0,52,46,0,98,100,0,100,0,200,100,100,50,0,0,200,70,100,100,29,0,0,0,120,101,0,0,0,0,0,60,300,0,0,91000
76,77,10,0,64,8,0,100,0,0,0,0,110,0,0,0,100,40,700,46,330,0,0,0,0,100,0,100,0,100,100,0,0,100,22,0,0,72,95,0,0,0,200,95,0,0,95,0,0,100,0,200,100,100,40,0,0,100,450,100,100,28,0,0,0,0,0,0,0,0,0,0,70,0,0,0,135750
77,78,30,100,50,8,0,0,0,0,0,0,80,0,0,0,200,50,500,47,140,0,0,20,50,100,0,100,0,100,100,0,0,400,33,500,4,29,67,0,200,0,0,107,21,0,128,100,0,100,0,200,100,100,60,100,0,100,460,100,100,24,0,0,0,0,0,0,0,0,0,0,80,0,0,0,127000
78,79,60,0,72,10,0,0,0,0,0,0,90,0,0,200,100,40,500,21,340,100,0,30,30,100,0,100,0,100,100,0,0,200,0,0,0,176,176,0,200,100,0,176,0,0,176,0,0,200,0,400,200,100,80,0,0,0,110,100,0,0,0,0,0,0,0,0,0,0,0,0,70,400,0,0,136500
79,80,30,100,60,10,0,0,0,0,200,0,70,0,0,0,0,50,600,48,350,0,0,20,50,100,0,100,0,0,100,0,0,200,0,0,0,44,44,0,100,0,0,68,54,0,123,0,0,100,100,200,100,100,50,0,0,100,260,100,200,44,0,0,0,74,0,128,0,0,0,0,10,300,0,0,110000
80,81,0,0,100,13,0,0,0,0,200,0,110,0,0,0,0,60,600,21,340,0,0,0,0,0,57,100,100,100,0,0,0,300,44,0,0,44,89,0,200,0,0,118,96,0,214,0,0,200,100,400,100,0,80,0,100,0,210,200,100,50,0,0,0,0,72,0,0,252,0,0,110,300,0,0,193500
81,82,70,100,32,4,0,0,0,0,100,0,40,0,0,300,100,60,500,45,300,100,0,0,0,0,44,100,100,0,200,100,0,0,120,0,0,3,123,0,0,0,0,133,0,0,133,100,0,200,0,200,100,100,50,0,0,0,30,200,200,40,0,0,0,0,199,0,0,0,0,0,100,200,0,0,153500
82,83,10,0,78,10,0,0,0,0,0,0,50,0,0,0,100,80,500,22,120,0,0,0,0,200,46,100,0,0,0,0,0,0,3,0,0,153,156,0,0,0,0,156,0,0,156,0,0,200,0,300,100,0,60,0,100,0,220,0,300,75,0,0,0,144,99,0,0,0,0,0,40,0,0,0,245000
